test_index,true_class,predicted_class,confidence,gradcam_path,confidence_category
153,Tomato___Early_blight,Tomato___Septoria_leaf_spot,0.37140265107154846,c:\Users\cscpr\Downloads\random 1\XAI_Results\sample_0153_Tomato___Early_blight_pred_Tomato___Septoria_leaf_spot.png,Low (<50%)
746,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn_(maize)___Northern_Leaf_Blight,0.9336658716201782,c:\Users\cscpr\Downloads\random 1\XAI_Results\sample_0746_Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot_pred_Corn_(maize)___Northern_Leaf_Blight.png,Very high (>=90%)
867,Tomato___Bacterial_spot,Tomato___Target_Spot,0.7528936266899109,c:\Users\cscpr\Downloads\random 1\XAI_Results\sample_0867_Tomato___Bacterial_spot_pred_Tomato___Target_Spot.png,High (75-90%)
2349,Corn_(maize)___Common_rust_,Corn_(maize)___Northern_Leaf_Blight,0.9186410307884216,c:\Users\cscpr\Downloads\random 1\XAI_Results\sample_2349_Corn_(maize)___Common_rust__pred_Corn_(maize)___Northern_Leaf_Blight.png,Very high (>=90%)
3522,Soybean___healthy,Corn_(maize)___healthy,0.878287672996521,c:\Users\cscpr\Downloads\random 1\XAI_Results\sample_3522_Soybean___healthy_pred_Corn_(maize)___healthy.png,High (75-90%)
3571,Tomato___Late_blight,Tomato___Early_blight,0.872625470161438,c:\Users\cscpr\Downloads\random 1\XAI_Results\sample_3571_Tomato___Late_blight_pred_Tomato___Early_blight.png,High (75-90%)
4748,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn_(maize)___Northern_Leaf_Blight,0.8860859274864197,c:\Users\cscpr\Downloads\random 1\XAI_Results\sample_4748_Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot_pred_Corn_(maize)___Northern_Leaf_Blight.png,High (75-90%)
5092,Corn_(maize)___Northern_Leaf_Blight,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9571523070335388,c:\Users\cscpr\Downloads\random 1\XAI_Results\sample_5092_Corn_(maize)___Northern_Leaf_Blight_pred_Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot.png,Very high (>=90%)
5708,Soybean___healthy,Tomato___Late_blight,0.5710943341255188,c:\Users\cscpr\Downloads\random 1\XAI_Results\sample_5708_Soybean___healthy_pred_Tomato___Late_blight.png,Moderate (50-75%)
5779,"Pepper,_bell___healthy",Strawberry___Leaf_scorch,0.44943562150001526,"c:\Users\cscpr\Downloads\random 1\XAI_Results\sample_5779_Pepper,_bell___healthy_pred_Strawberry___Leaf_scorch.png",Low (<50%)
6416,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn_(maize)___Northern_Leaf_Blight,0.46452707052230835,c:\Users\cscpr\Downloads\random 1\XAI_Results\sample_6416_Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot_pred_Corn_(maize)___Northern_Leaf_Blight.png,Low (<50%)
